OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,Med_HH_Inc,Pop_100,Expec_Cnt,Expec_Doll,Actual_Cnt,Actual_Dol,Diff_Cnt,Diff_Dolla,Pop_Sq_Mi,Sq_Mi,Pct_White,White_Pop,MED_HH_I_1,OBS_EXP_DL,Dollars_pe,nonHispani,PctNonHisp,DOL_PER_PE,Eight_pct,Third_cont,HH_contrib,HH_dollars,HH_Bins
424,53,033,003900,2,530330039002,Block Group 2,G5030,S,404763,0,+47.6790474,-122.2777666,9230.333192,4356567.80063,113625,1095,15,3105,11,2430,-4,-675,7007,0.15627,0.827397,906,03 Med High,02 Med Low,2.21918,877,0.800913,01 Low,88,809.999,5210,4.75799,02 Med Low
425,53,033,003900,1,530330039001,Block Group 1,G5030,S,569044,0,+47.6796707,-122.2855956,10583.114665,6124768.7049,80045,1677,24,4755,12,3670,-12,-1085,7633,0.219696,0.778175,1305,02 Med Low,01 Low,2.18843,1260,0.751342,01 Low,134,1223.33,7923,4.72451,02 Med Low
426,53,033,007401,1,530330074011,Block Group 1,G5030,S,58832,0,+47.6241284,-122.3248227,3200.303751,633242.239686,54840,1081,15,3065,13,5000,-2,1935,47591,0.022714,0.828862,896,01 Low,02 Med Low,4.62535,861,0.796485,02 Med Low,86,1666.67,5967,5.51989,02 Med Low
427,53,033,007300,3,530330073003,Block Group 3,G5030,S,379724,0,+47.6198747,-122.3363629,12151.089209,4087145.60183,101496,1613,23,4573,7,2215,-16,-2358,11002,0.146606,0.748295,1207,02 Med Low,01 Low,1.37322,1134,0.703038,01 Low,129,738.333,7188,4.45629,02 Med Low
428,53,033,007300,2,530330073002,Block Group 2,G5030,S,251706,0,+47.6174108,-122.3320700,6932.121567,2709217.38465,16477,1370,19,3884,110,19160,91,15276,14098,0.09718,0.667883,915,01 Low,04 High,13.9854,860,0.627737,04 High,110,6386.66,11887,8.67664,03 Med High
429,53,033,007300,1,530330073001,Block Group 1,G5030,S,294617,0,+47.6223366,-122.3310832,8096.849925,3171054.88113,46250,1685,24,4777,35,12750,11,7973,14814,0.113746,0.662908,1117,01 Low,03 Med High,7.56677,1040,0.617211,03 Med High,135,4250,11000,6.52819,03 Med High
430,53,033,007200,1,530330072001,Block Group 1,G5030,S,824466,0,+47.6199448,-122.3426187,18579.4334,8874140.14996,36890,2640,37,7485,28,7274,-9,-211,8294,0.318316,0.694697,1834,01 Low,02 Med Low,2.7553,1739,0.658712,02 Med Low,211,2424.66,12975,4.91477,02 Med Low
431,53,033,007100,2,530330071002,Block Group 2,G5030,S,551633,0,+47.6217267,-122.3536092,9474.648674,5937436.85322,67414,2006,28,5687,0,0,-28,-5687,9419,0.212976,0.783649,1572,01 Low,01 Low,0,1490,0.742772,01 Low,160,0,8000,3.98804,02 Med Low
432,53,033,007100,1,530330071001,Block Group 1,G5030,S,310462,0,+47.6237191,-122.3641405,11682.810219,3341631.4403,42198,1049,15,2974,13,2825,-2,-149,8752,0.119865,0.768351,806,01 Low,02 Med Low,2.69304,766,0.730219,02 Med Low,84,941.666,5142,4.90181,02 Med Low
433,53,033,007000,6,530330070006,Block Group 6,G5030,S,150313,0,+47.6281942,-122.3600240,5296.214251,1617886.40531,48550,1035,15,2934,36,9055,21,6121,17834,0.058034,0.823188,852,01 Low,03 Med High,8.74879,830,0.801932,03 Med High,83,3018.33,7168,6.9256,03 Med High
434,53,033,007000,5,530330070005,Block Group 5,G5030,S,75071,0,+47.6257448,-122.3585723,3835.842971,808015.527016,42107,1052,15,2983,1,250,-14,-2733,36296,0.028984,0.863118,908,01 Low,01 Low,0.237643,875,0.831749,01 Low,84,83.3333,4283,4.07129,02 Med Low
435,53,033,007000,4,530330070004,Block Group 4,G5030,S,118926,0,+47.6309486,-122.3592067,4529.592266,1280044.0577,59844,1088,15,3085,28,8995,13,5910,23696,0.045915,0.846507,921,01 Low,03 Med High,8.26746,891,0.818934,03 Med High,87,2998.33,7348,6.75368,03 Med High
436,53,033,007000,3,530330070003,Block Group 3,G5030,S,186037,0,+47.6264096,-122.3533961,6395.417487,2002390.05104,58662,1559,22,4420,11,1940,-11,-2480,21705,0.071826,0.857601,1337,01 Low,01 Low,1.24439,1276,0.818473,01 Low,125,646.666,6897,4.42399,02 Med Low
437,53,033,007000,2,530330070002,Block Group 2,G5030,S,66998,0,+47.6257166,-122.3625030,3513.334431,721120.425008,37750,1142,16,3238,11,1440,-5,-1798,44150,0.025867,0.837128,956,01 Low,01 Low,1.26095,927,0.811734,01 Low,91,480,5030,4.40455,02 Med Low
438,53,033,007000,1,530330070001,Block Group 1,G5030,S,208617,0,+47.6300416,-122.3536953,6414.043493,2245394.93631,106293,1083,15,3071,38,7795,23,4724,13446,0.080543,0.87627,949,02 Med Low,03 Med High,7.1976,916,0.845799,03 Med High,87,2598.33,6948,6.41551,03 Med High
439,53,033,006900,4,530330069004,Block Group 4,G5030,S,220982,0,+47.6375406,-122.3704125,7650.755504,2378533.93168,71500,1163,16,3297,37,8535,21,5238,13631,0.085318,0.810834,943,02 Med Low,03 Med High,7.33878,913,0.785039,03 Med High,93,2845,7495,6.44454,03 Med High
440,53,033,006900,3,530330069003,Block Group 3,G5030,S,210318,0,+47.6296827,-122.3656981,7541.19192,2263721.34186,80625,854,12,2421,62,26500,50,24079,10517,0.0812,0.906323,774,02 Med Low,04 High,31.0304,751,0.879391,04 High,68,8833.32,12233,14.3244,04 High
441,53,033,006900,2,530330069002,Block Group 2,G5030,S,255072,0,+47.6330831,-122.3667342,8421.421163,2745429.0464,88750,1021,14,2895,58,15655,44,12760,10368,0.098479,0.927522,947,02 Med Low,04 High,15.333,919,0.900098,04 High,82,5218.33,9318,9.12635,03 Med High
442,53,033,006900,1,530330069001,Block Group 1,G5030,S,216517,0,+47.6371731,-122.3649756,6163.981287,2330455.16104,104886,1042,15,2954,31,8475,16,5521,12465,0.083594,0.878119,915,02 Med Low,03 Med High,8.1334,898,0.861804,03 Med High,83,2825,6975,6.69386,03 Med High
443,53,033,000100,3,530330001003,Block Group 3,G5030,S,370738,0,+47.7228093,-122.2894558,8560.646648,3990298.61808,50128,1337,19,3791,7,450,-12,-3341,9341,0.143132,0.623037,833,01 Low,01 Low,0.336574,778,0.5819,01 Low,107,150,5500,4.11369,02 Med Low
444,53,033,005000,1,530330050001,Block Group 1,G5030,S,370756,0,+47.6627109,-122.3408242,9864.759837,3990574.74919,77083,1358,19,3850,10,1255,-9,-2595,9487,0.143142,0.854197,1160,02 Med Low,01 Low,0.924153,1100,0.810015,01 Low,109,418.333,5868,4.32106,02 Med Low
445,53,033,006100,2,530330061002,Block Group 2,G5030,S,474959,130834,+47.6442656,-122.3156489,15037.655778,6520347.05034,80179,1099,16,3116,65,15493,49,12377,4699,0.233885,0.827116,909,02 Med Low,04 High,14.0974,886,0.806187,04 High,88,5164.33,9564,8.70246,03 Med High
446,53,033,006300,4,530330063004,Block Group 4,G5030,S,1122549,0,+47.6340212,-122.2894637,17287.959976,12082440.0252,126175,1287,18,3649,71,20280,53,16631,2970,0.433398,0.915307,1178,03 Med High,04 High,15.7576,1154,0.896659,04 High,103,6759.99,11910,9.25408,03 Med High
447,53,033,009500,2,530330095002,Block Group 2,G5030,S,774754,0,+47.5867869,-122.2980521,12996.708329,8339072.95442,46843,1547,22,4386,20,2254,-2,-2132,5172,0.299123,0.434389,672,01 Low,01 Low,1.45701,642,0.414997,01 Low,124,751.333,6951,4.49321,02 Med Low
448,53,033,009000,2,530330090002,Block Group 2,G5030,S,528046,0,+47.5987438,-122.3117724,9576.185822,5683644.01016,30545,1711,24,4851,18,5425,-6,574,8392,0.203873,0.289304,495,01 Low,02 Med Low,3.17066,462,0.270018,02 Med Low,137,1808.33,8658,5.0602,02 Med Low
449,53,033,010200,2,530330102002,Block Group 2,G5030,S,1428802,1399183,+47.5544103,-122.2543123,28482.80901,30439455.4692,80750,999,14,2832,60,16415,46,13583,915,1.09187,0.65966,659,02 Med Low,04 High,16.4314,637,0.637638,04 High,80,5471.66,9472,9.48148,03 Med High
450,53,033,006800,1,530330068001,Block Group 1,G5030,S,310536,0,+47.6361290,-122.3531807,7972.111305,3342412.1012,99267,1291,18,3660,34,11284,16,7624,10768,0.119893,0.891557,1151,02 Med Low,03 Med High,8.74051,1107,0.857475,03 Med High,103,3761.33,8911,6.9024,03 Med High
451,53,033,006700,4,530330067004,Block Group 4,G5030,S,404862,0,+47.6359910,-122.3471097,11775.340353,4357683.59294,77031,1708,24,4842,59,17206,35,12364,10927,0.15631,0.83548,1427,02 Med Low,04 High,10.0738,1375,0.805035,03 Med High,137,5735.33,12585,7.36827,03 Med High
452,53,033,006700,3,530330067003,Block Group 3,G5030,S,194183,0,+47.6314598,-122.3478682,7594.990123,2090074.17872,80067,1220,17,3459,30,8545,13,5086,16273,0.074971,0.851639,1039,02 Med Low,03 Med High,7.0041,1013,0.830328,03 Med High,98,2848.33,7748,6.35082,03 Med High
453,53,033,006700,2,530330067002,Block Group 2,G5030,S,295891,0,+47.6272980,-122.3455544,9256.33045,3184804.4231,66406,1737,25,4925,21,5700,-4,775,15205,0.114239,0.824986,1433,01 Low,02 Med Low,3.28152,1371,0.789292,02 Med Low,139,1900,8850,5.09499,02 Med Low
454,53,033,006700,1,530330067001,Block Group 1,G5030,S,383284,102394,+47.6324360,-122.3407805,11330.979783,5227533.24456,72097,1879,27,5327,11,4190,-16,-1137,10021,0.187512,0.75306,1415,02 Med Low,01 Low,2.22991,1361,0.724321,01 Low,150,1396.67,8897,4.73497,02 Med Low
455,53,033,006600,2,530330066002,Block Group 2,G5030,S,243924,0,+47.6374360,-122.3259311,8756.126467,2625456.91508,58596,1751,25,4964,29,5830,4,866,18593,0.094175,0.829812,1453,01 Low,02 Med Low,3.32953,1416,0.808681,02 Med Low,140,1943.33,8943,5.10737,02 Med Low
456,53,033,006600,1,530330066001,Block Group 1,G5030,S,870072,826398,+47.6296259,-122.3310053,25085.568004,18259774.3499,72500,1789,25,5072,44,13975,19,8903,2731,0.654979,0.774734,1386,02 Med Low,03 Med High,7.81163,1306,0.730017,03 Med High,143,4658.33,11808,6.60034,03 Med High
457,53,033,006500,2,530330065002,Block Group 2,G5030,S,190566,0,+47.6273114,-122.3226269,7315.750326,2051130.21846,72978,1490,21,4224,56,17080,35,12856,20252,0.073574,0.861745,1284,02 Med Low,04 High,11.4631,1229,0.824832,03 Med High,119,5693.33,11643,7.81409,03 Med High
458,53,033,006500,3,530330065003,Block Group 3,G5030,S,273795,0,+47.6262358,-122.3165726,7454.015997,2946946.8945,87156,1555,22,4409,75,22955,53,18546,14710,0.105707,0.886174,1378,02 Med Low,04 High,14.7621,1329,0.854662,04 High,124,7651.66,13852,8.90804,03 Med High
459,53,033,006500,1,530330065001,Block Group 1,G5030,S,683260,0,+47.6338762,-122.3168748,11974.556935,7354168.15143,113393,1112,16,3153,108,32571,92,29418,4215,0.263794,0.892986,993,03 Med High,04 High,29.2905,978,0.879496,04 High,89,10857,15307,13.7653,04 High
460,53,033,006400,3,530330064003,Block Group 3,G5030,S,370406,0,+47.6287604,-122.3054864,8278.481299,3986837.29391,132750,1193,17,3382,77,20495,60,17113,8342,0.143008,0.898575,1072,03 Med High,04 High,17.1794,1034,0.866723,04 High,95,6831.66,11582,9.7083,03 Med High
461,53,033,006400,2,530330064002,Block Group 2,G5030,S,232532,0,+47.6287858,-122.3105864,7121.612995,2502839.61326,127102,990,14,2807,64,16680,50,13873,11027,0.089777,0.911111,902,03 Med High,04 High,16.8485,884,0.892929,04 High,79,5559.99,9510,9.60606,03 Med High
462,53,033,006400,1,530330064001,Block Group 1,G5030,S,300711,0,+47.6280777,-122.2995576,8167.59117,3236677.59462,112652,1024,14,2903,26,5775,12,2872,8820,0.1161,0.793945,813,03 Med High,02 Med Low,5.63965,781,0.762695,02 Med Low,82,1925,6025,5.88379,02 Med Low
463,53,033,006300,3,530330063003,Block Group 3,G5030,S,402717,106117,+47.6390652,-122.2823976,14279.764671,5476765.99548,150313,1078,15,3056,45,11850,30,8794,5487,0.196452,0.902597,973,03 Med High,03 Med High,10.9926,947,0.878479,03 Med High,86,3950,8250,7.65306,03 Med High
464,53,033,000100,5,530330001005,Block Group 5,G5030,S,230512,0,+47.7229283,-122.2944374,7450.760497,2481027.79155,43448,942,13,2671,1,100,-12,-2571,10585,0.088995,0.596603,562,01 Low,01 Low,0.106157,528,0.56051,01 Low,75,33.3333,3783,4.01592,02 Med Low
466,53,033,001400,4,530330014004,Block Group 4,G5030,S,918298,211433,+47.7062878,-122.3734343,25787.118816,12159500.0237,111154,1345,19,3813,6,370,-13,-3443,3084,0.436162,0.886989,1193,03 Med High,01 Low,0.275093,1162,0.863941,01 Low,108,123.333,5523,4.10632,02 Med Low
467,53,033,001600,1,530330016001,Block Group 1,G5030,S,1005393,457717,+47.7056204,-122.3809955,21083.66851,15747731.4217,88523,1375,19,3898,61,14775,42,10877,2434,0.564872,0.925091,1272,02 Med Low,03 Med High,10.7455,1257,0.914182,03 Med High,110,4925,10425,7.58182,03 Med High
468,53,033,009600,5,530330096005,Block Group 5,G5030,S,686264,1354203,+47.5923106,-122.3884249,27113.598331,21962610.4147,109688,1305,18,3700,17,5695,-1,1995,1657,0.7878,0.859004,1121,02 Med Low,02 Med Low,4.36398,1088,0.833716,02 Med Low,104,1898.33,7098,5.43908,02 Med Low
469,53,033,008001,3,530330080013,Block Group 3,G5030,S,253356,546001,+47.6150718,-122.3555298,17606.21546,8603795.26028,83625,1054,15,2988,5,1320,-10,-1668,3415,0.308619,0.723909,763,02 Med Low,01 Low,1.25237,709,0.672676,01 Low,84,440,4640,4.40228,02 Med Low
470,53,033,008001,4,530330080014,Block Group 4,G5030,S,54970,0,+47.6148583,-122.3510092,3125.155701,591667.640559,76063,1432,20,4060,26,8260,6,4200,67473,0.021223,0.680866,975,02 Med Low,03 Med High,5.76816,912,0.636872,02 Med Low,115,2753.33,8503,5.93785,02 Med Low
471,53,033,003100,5,530330031005,Block Group 5,G5030,S,936296,465516,+47.6887931,-122.4026705,21985.28874,15088016.5298,110966,1283,18,3638,31,7083,13,3445,2371,0.541208,0.896337,1150,03 Med High,02 Med Low,5.52065,1132,0.882307,02 Med Low,103,2361,7511,5.85425,02 Med Low
472,53,033,010100,5,530330101005,Block Group 5,G5030,S,615407,0,+47.5688386,-122.2854078,12804.697148,6623980.63305,75987,2119,30,6008,39,6530,9,522,8918,0.237603,0.427088,905,02 Med Low,02 Med Low,3.08164,829,0.391222,02 Med Low,170,2176.66,10677,5.0387,02 Med Low
473,53,033,011102,1,530330111021,Block Group 1,G5030,S,642474,1636998,+47.5379284,-122.2633605,24537.10399,24535610.1901,128854,1212,17,3436,57,11700,40,8264,1377,0.880094,0.792904,961,03 Med High,03 Med High,9.65347,934,0.770627,03 Med High,97,3900,8750,7.21947,03 Med High
474,53,033,010200,4,530330102004,Block Group 4,G5030,S,399227,0,+47.5556598,-122.2725172,11392.687321,4297156.77809,80391,1192,17,3380,31,4485,14,1105,7733,0.154139,0.625839,746,02 Med Low,02 Med Low,3.76258,712,0.597315,02 Med Low,95,1495,6245,5.23909,02 Med Low
475,53,033,010402,3,530330104023,Block Group 3,G5030,S,301979,0,+47.5504735,-122.3037593,13009.756377,3250420.28897,100000,960,14,2722,3,850,-11,-1872,8234,0.116593,0.2375,228,02 Med Low,01 Low,0.885417,196,0.204167,01 Low,77,283.333,4133,4.30521,02 Med Low
476,53,033,010401,2,530330104012,Block Group 2,G5030,S,633184,0,+47.5542676,-122.2975185,15472.3801,6815356.17786,70114,1782,25,5052,14,2040,-11,-3012,7289,0.244467,0.165544,295,02 Med Low,01 Low,1.14478,265,0.148709,01 Low,143,679.999,7830,4.39394,02 Med Low
477,53,033,010702,2,530330107022,Block Group 2,G5030,S,207946,0,+47.5462214,-122.3715878,7259.358936,2238255.03137,35625,1421,20,4029,2,100,-18,-3929,17699,0.080286,0.190711,271,01 Low,01 Low,0.070373,229,0.161154,01 Low,114,33.3333,5733,4.03448,02 Med Low
478,53,033,012000,2,530330120002,Block Group 2,G5030,S,508713,0,+47.5100826,-122.3805420,13369.289991,5475702.88929,89023,1175,17,3331,10,2275,-7,-1056,5982,0.196414,0.852766,1002,02 Med Low,01 Low,1.93617,966,0.822128,01 Low,94,758.333,5458,4.64511,02 Med Low
479,53,033,011900,1,530330119001,Block Group 1,G5030,S,590810,1320016,+47.5102089,-122.2392650,27337.795975,20567791.0925,61667,1322,19,3748,12,2570,-7,-1178,1792,0.737768,0.430408,569,01 Low,01 Low,1.94402,540,0.408472,01 Low,106,856.666,6157,4.65734,02 Med Low
